Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,parsed_content
31,a5efd767-a022-4554-997e-4c4b9c3d7dca,Reisha Maulana,https://play-lh.googleusercontent.com/a-/ALV-UjULDygpFCczUhGkwRuaiq11AshXG8CMmILMsTDHduul8Q,"Gamenya bagus eventnya oke tapi tolong kurangin harga item di shop dong plsssss.selebihnya gps normal saat aku main hampir gapernah nemu bug. Tambahan hp ku yang burik aja masih kuat main game ini sinyal ok, gapernah stuck masih lancar lancar aja kalo ada yang bilang stuck berarti bukan masalah RAM tapi hp kao tak support",5,0,,2023-10-11 14:24:10,,,,Gamenya
32,de44170d-2574-4c21-92d2-e87747b7a7c7,SChris Swn,https://play-lh.googleusercontent.com/a-/ALV-UjV77mMSKmjfcsxyXJTFrTDSSLn5UvDEXeizv9D6PvgxhRFi,"Niantic harus sadar bahwa tahun sudah berubah, tren permainan telah bergeser. Untuk tahun 2016 mungkin game ini seru, namun bukan untuk saat ini, berubahlah mengikuti zaman, buatlah game yang lebih dimainkan santai terlebih kondisi pandemi covid seperti ini.",1,2,0.67.2,2020-09-19 09:14:15,,,0.67.2,Niantic
33,dbc12a77-358d-4f11-af63-91e6a412e933,ati aja,https://play-lh.googleusercontent.com/a/ACg8ocI-f2rJkW7EEmQ9MqzRGSsVXxUZia3psTX8n-MjrT2P=mo,saya abis awal baru main abis login nya tidak bisa dan tidak ada tanda Facebook sedang kan di YouTube ada tolong perbaiki,1,7,0.277.1,2023-07-18 17:11:37,,,0.277.1,saya
34,ba3375c0-514d-481c-9059-8e083f6e8fd8,Puji Hartono,https://play-lh.googleusercontent.com/a/ACg8ocJz1SgwiXgJRWpCrM0BJ235FnMyyxzRfErorq9GwGud=mo,"Permainan yang bagus dan cocok untuk orang"" yang suka bepergian. Saran aja untuk developer agar di tambah menu bahasanya dan supaya di tambahkan ke bahasa indonesia, kasihan yang tidak bisa bahasa inggris harus translet dulu agar tau artinya, terimakasih 👍👍",5,662,0.223.0,2021-11-09 09:33:17,,,0.223.0,Permainan
35,6bd7f9b5-2932-4db7-8b32-0288a0f729ee,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Game nya bagus apalagi sekarang dah di update fitur buddy baru, bisa jalan bareng sama kita, [* but I want di friends nya bisa ngobrol gitu kayak bisa ngechat bareng with our friend biar bisa kenalan bareng dan jadi lebih asik lagi pokoknya dah mantep *], mudah mudahan di adain lagi event safari zone in indonesia soalnya masih cukup banyak yang main di indonesia, mudah mudahan aja game ini jadi lebih berkembang dan banyak di mainkan di seluruh dunia .",5,104,0.163.2,2019-12-29 11:56:00,,,0.163.2,Game
36,8c1fe80f-355f-4a37-9646-eef2f049e156,Zam AF,https://play-lh.googleusercontent.com/a-/ALV-UjXekZjh7Ba48-I_qy5n0r3X-2Ye3YKXenMOHSieXFSX4A,"Sering kalah, tas yang gampang penuh, pokemon yang susah untuk diperkuat, lawan yang bikin kalah mendominasi dan sering terjadi lag saat pertandingan gara2 susah sinyal padahal sinyal sedang bagus. Game yang dilihat awalnya bagus ternyata kurang ramah untuk newbee",1,2,,2022-12-27 15:51:53,,,,Sering
37,7fc454ff-c5d8-4122-ba2c-2185f5a987a8,Dedel DN,https://play-lh.googleusercontent.com/a-/ALV-UjWF-6j7wqB9PeLFm0v7PlL2VSGbz--9gZvncVDiaNu48w,"Hallo, saya pemain baru, tolong di mengerti saran saya, tolong update lagi ini game, dikasih joystick khusus bawaan pokemon nya aj sedikit, cuman jarak nya terbatas, seperti jarak remot control gtu, jd biar enak untuk main nya, kan jd enak sedikit klo kita main nya sambil duduk aj ga jalan kesana kesni jauh"" untuk pasin jarak nya, sambil nunggu"" bisa kita gerakin sama juga kita bisa asik ngobrol mabar sama yang lain. cuman itu aj sih kekurangan nya, joystick nya aj buat liat sedikit tempat dekat",5,306,0.179.2,2020-07-08 06:53:21,,,0.179.2,"Hallo,"
38,36f38ebd-539d-4c23-9959-9aeaada0560d,AMBERJACK PLAY,https://play-lh.googleusercontent.com/a-/ALV-UjXfIkyuSMw_cgAuo3GGqTxypXy775qfw3GEoz3YaSfr0ig,Taruh pokestop yang banyak di desaku. Masa desa tetangga yang wilayahnya kecil banyak banget pokestopnya.,2,12,0.273.1,2023-06-10 13:50:58,,,0.273.1,Taruh
39,b456f83e-a58d-4333-8f73-eee65661ba68,Julius Mar'ie Sugata,https://play-lh.googleusercontent.com/a-/ALV-UjVvMzD7hfaQ8x-h2kWAgJdY0AxMyfkVuAIjebnEc0cyU3A,Gamenya bagus untuk yang sekarang tapi harga Remote Raid Pass nya terlalu mahal.,5,15,0.271.0,2023-05-19 10:34:32,,,0.271.0,Gamenya
40,deead354-4aee-4808-a266-507449b7a91f,Al Artha,https://play-lh.googleusercontent.com/a/ACg8ocLHBunc6AcBUiWrgpuWda8y-n-QXAvWPnUn-JFLCtVA=mo,Ketika saya menemukan pokemon lalu ketika saya tekan tidak ada pokemon nya hanya gambar putih saja jadi aku mohon tolong dong diperbaiki nanti saya akan memberi bintang lima maaf bila saya ada salah asalamualaikum warohmatulohi wabarakatuh 😇,3,7,0.275.3,2023-07-11 13:14:04,,,0.275.3,Ketika
